UNITID,F1A13,F1A18,F1B25,I       
141006,1370897,22599384,24814581,
141097,63873445,64829593,63779676,
141158,742823,24835304,14179519,
141255,2684966,43322897,40461456,
141264,232025303,131688935,171149563,
141307,1018517,10658088,10460437,
141334,129504267,128319439,147260062,
141565,44962199,191421086,130447002,
141574,475685503,685356332,906333147,
141680,5977075,16997311,47643258,
141796,10201180,61763778,65862474,
141802,2704702,11291364,18080101,
141811,9840070,11335340,48743497,
141839,6700681,80770455,42957853,
141963,267278567,359110739,198596061,
141981,22306086,49582709,13073182,
141990,3346224,73853886,22822902,
142115,291766549,295224780,297253155,
142179,1119119,27106758,22631692,
142276,103031624,169536346,227949643,
142285,208254578,380286428,379064341,
142328,16210179,56055093,63783046,
142443,26393038,35090162,60421507,
142559,9650666,79755764,126349368,
143215,75317484,76398542,111891069,
143279,32861597,62080343,56610539,
143613,39398263,14718079,30486715,
144005,39106805,134717190,141435168,
144157,,,58009131,
144166,,,45167520,
144175,,,39635743,
144184,,,50974608,
144193,,,40669712,
144209,,,52329918,
144218,,,51742073,
144500,164784671,793918693,92778128,
144564,4741317,49964501,27020966,
144865,331006657,292082346,202512874,
144892,179928338,197960707,250917448,
144944,165244483,89931176,107131989,
145336,48877968,78188998,97702054,
145521,15305538,25135631,28226892,
145600,1106709542,1109476193,2295448659,
145637,1270770067,1399100265,2216452293,
145682,100548614,139570933,119423008,
145707,,,13189056,
145813,178977195,419818204,482055070,
145831,13745334,57230625,32371335,
146205,33939091,60399091,50750631,
146278,17071263,31113092,25627723,
146296,199174598,85260671,136679842,
146348,21212177,29706469,38314066,
146366,32368289,35438849,39976868,
146418,29121247,34759038,39214602,
146472,109753540,133522359,127373084,
146506,35502591,58669972,59188296,
146603,130145207,79935782,67782016,
146685,74489642,61632918,75032126,
147004,38902856,55797690,55594520,
147378,114172009,165269305,108037894,
147411,16754169,34650644,35663022,
147703,238231834,254288466,534540702,
147776,50200622,111829457,164733933,
147800,81959764,146066951,94051117,
147916,87453497,70616832,91803329,
148007,26664002,31426254,35355528,
148256,21029394,24660756,35383159,
148292,18202370,30998057,26958877,
148380,109954305,51420664,71639430,
148654,76000931,65899955,92287677,
148672,6400528,32157018,22643337,
148821,10426379,20888558,23081615,
148937,11492682,12232841,20739000,
148991,20313693,3193706,16804569,
149222,310744163,374456143,734694576,
149231,204484254,171052970,313584782,
149240,1124558,342210,6451160,
149365,41396638,16744898,55978562,
149532,21579484,60329622,74215259,
149587,342783067,211069663,259484992,
149727,130663357,82517239,85089466,
149772,97760037,140792829,275771638,
149842,259363128,197691468,157867638,
150136,236324602,628765557,437646000,
150978,33481978,26070255,40826977,
150987,62972357,20423037,90605046,
150996,2070008,16404565,25084668,
151005,23519065,15318411,46702894,
151014,9388922,1195982,28638846,
151023,10607707,35577230,37926695,
151032,35205417,20480362,52121001,
151041,22652730,1815815,23228817,
151050,35719618,26896932,35454530,
151069,27259459,16093348,39339192,
151078,25265016,25534822,20831163,
151087,41301381,28081274,51253596,
151096,20005345,9788612,16893050,
151102,162252584,125744510,152321073,
151111,517538023,920994882,1145095888,
151306,169023634,120298191,143946798,
151324,142399341,319762993,216867082,
151333,18990371,26285179,29435066,
151342,70942126,84385264,80515253,
151351,895298982,1534887071,1371960450,
151360,30362805,45047622,56927162,
151379,57977844,47687644,68920579,
151388,12230222,17579385,31983630,
151537,,,1003442,
152248,76773439,102493720,118160136,
152266,2741646,25619273,38515635,
152637,85734229,219946711,139896761,
153214,157404786,98588207,133542320,
153296,20621833,10294378,18210662,
153311,94325701,69608483,80067846,
153445,46459202,70097851,52998982,
153472,26142940,56214009,58003943,
153524,54435362,31207150,56143462,
153533,19949219,29586937,36723058,
153603,705785411,995687908,993443302,
153630,95950770,45446168,51022982,
153658,1526134000,2611708000,2369978000,
153737,140210907,103165020,134032744,
153922,35112852,17528264,31007342,
154059,19546259,32805143,36124126,
154095,184651958,324535024,284296754,
154110,89724452,21806469,65055999,
154129,16783157,23365524,17282872,
154378,24544462,24159643,43964312,
154396,19200858,16241094,21854773,
154572,33257477,38020550,48431667,
154642,5176348,16055418,17568643,
154697,10786157,23057578,34535111,
