UNITID,EFYTOTLT
127200,28236
127219,59
127219,59
127228,356
127228,356
127273,312
127273,312
127316,370
127316,370
127389,1502
127389,1502
127556,8800
127556,8618
127556,182
127565,29074
127565,29074
127617,2935
127617,2935
127653,1179
127653,518
127653,661
127680,612
127680,612
127699,691
127699,691
127714,1483
127714,1483
127732,3923
127732,3923
127741,15332
127741,11515
127741,3817
127778,2214
127778,2214
127787,1933
127787,1933
127820,20231
127820,20231
127839,621
127839,621
127884,10839
127884,10839
127909,14622
127909,14622
127918,14609
127918,7119
127918,7490
127945,696
127945,696
127954,60
127954,18
127954,42
128106,14604
128106,8435
128106,6169
128151,1684
128151,1684
128179,638
128179,638
128188,990
128188,990
128258,2774
128258,2774
128328,4620
128328,4620
128337,297
128337,297
128391,2402
128391,2402
128425,35
128425,29
128425,6
128498,2709
128498,2110
128498,599
128540,153
128540,153
128577,2723
128577,2723
128586,59
128586,59
128674,1126
128674,1126
128683,1037
128683,1037
128726,241
128726,241
128744,6295
128744,2763
128744,3532
128762,490
128762,490
128771,15535
128771,11817
128771,3718
128780,3443
128780,3443
128896,498
128896,498
128902,2178
128902,2173
128902,5
128957,302
128957,302
129002,731
129002,731
129020,27322
129020,18151
129020,9171
129154,3193
129154,3193
129181,1981
129181,1981
129215,6650
129215,6118
129215,532
129242,6101
129242,4529
129242,1572
129349,327
129349,327
129367,6150
129367,6150
129428,831
129428,831
129446,45
129446,45
129482,739
129482,739
129491,222
129491,222
129525,8758
129525,6388
129525,2370
129534,428
129534,64
129534,364
129543,8366
129543,8366
129613,311
129613,311
129640,56
129640,56
129686,103
129686,101
129686,2
129695,10326
129695,10326
129729,9451
129729,9451
129756,4434
129756,4434
129774,1057
129774,1057
129808,5630
129808,5630
129923,1582
129923,1582
129932,1175
129932,1175
129941,6705
129941,4471
129941,2234
129969,495
129969,495
130004,10002
130004,10002
130040,2379
130040,2379
130110,251
130110,251
130129,172
130129,172
130174,5063
130174,5063
130183,5708
130183,4769
130183,939
130217,2968
130217,2968
130226,8645
130226,6246
130226,2399
130253,7420
130253,4828
130253,2592
130314,2580
130314,1100
130314,1480
130396,10365
130396,10365
130448,615
130448,615
130493,14175
130493,9814
130493,4361
130509,702
130509,702
130581,162
130581,162
130590,2666
130590,2474
130590,192
130606,6698
130606,6698
130624,975
130624,975
130697,3426
130697,2988
130697,438
130776,7927
130776,6925
130776,1002
130785,12
130785,12
130794,12462
130794,6056
130794,6406
130837,54
130837,54
130873,669
130873,669
130891,6366
130891,6366
130907,4760
130907,4760
130916,10388
130916,10388
130934,4170
130934,3685
130934,485
130943,23680
130943,19554
130943,4126
130989,1518
130989,748
130989,770
131061,222
131061,222
131098,2513
131098,2254
131098,259
131113,13444
131113,7801
131113,5643
131159,14164
131159,7705
131159,6459
131283,7288
131283,3621
131283,3667
131308,939
131308,701
131308,238
131399,11902
131399,11457
131399,445
131405,101
131405,101
131450,1522
131450,1105
131450,417
131469,29976
131469,11896
131469,18080
131496,19679
131496,9410
131496,10269
131520,11037
131520,7405
131520,3632
131566,127
131566,127
131742,1982
131742,1982
131803,3768
131803,2811
131803,957
131830,32
131830,32
131876,2588
131876,1713
131876,875
131973,781
131973,781
132268,1596
132268,1596
132338,4329
132338,4329
132374,1726
132374,1726
132408,758
132408,758
132471,9539
132471,5154
132471,4385
132523,52
