UNITID,F1A13,F1A18,F1B25
175342,57088722,134918786,85886296
175519,2626388,40677075,40822093
175573,11841651,36637459,44789543
175616,29915382,98155373,71632470
175643,3548631,24978635,43500665
175652,5646594,54625350,67070396
175786,60063094,135701981,176046357
175810,14990971,37205686,53161237
175829,18493934,85990639,98177215
175856,122140404,198463111,199707369
175883,23698115,71642714,55543229
175935,5037507,37815412,39009237
175999,38575044,61061969,71046892
176008,3709357,44039410,35673785
176017,188612730,797227042,471437336
176026,335263308,678770064,1021851845
176035,6242733,96199894,47583569
176044,23055712,56787847,64091963
176071,34232296,157399249,137863211
176080,234729423,674692505,611386845
176169,5617201,44355505,38057581
176178,5952184,95309418,73524429
176239,13903298,92525811,54414430
176354,2191308,45214272,26311190
176372,203167962,392942493,327344156
176734,,,323262
176798,,,3393396
176965,97335170,188776921,178176827
176983,,,4161045
177056,,,1917452
177135,7451874,52794449,55494258
177250,27266500,33005460,31112130
177436,,,2863723
177472,15760520,26291650,78199588
177551,33711341,37752145,27428503
177676,28436642,39340151,43054413
177807,,,267437
177870,,,349225
177940,32491956,76379489,56336226
177977,11182641,43335144,20122502
178129,117084299,126710966,146305869
178217,20889466,19633905,36082656
178341,33982294,89234120,71011521
178387,63136531,81882997,74500098
178396,1304767318,2489082061,1958772076
178402,238599857,412434421,364218466
178411,128710831,376680616,202308526
178420,98664539,317685140,226416543
178439,1416555068,420361200,171894754
178448,4036732,28293268,31663432
178466,,,2201847
178563,,,1114233
178606,,,96825
178615,75805117,245532440,113376242
178624,94129092,105128723,102848492
178828,,,609813
179052,,,2568506
179238,,,764242
179308,55428701,170596917,238166206
179344,4202333,19404235,13996078
179539,3111800,30469913,36691177
179557,186376306,296310266,175644901
179566,158681463,401148470,288409094
179645,11263791,18619532,24075693
179715,7638585,26085545,23113918
179724,,,518835
179742,,,214820
180151,5988986,9028953,8268139
180160,2354155,6665868,6836021
180179,31195101,62409681,69111752
180197,19741233,20345159,37949519
180203,521330,8980248,7381764
180212,4205401,11651909,11164197
180249,3918703,23577264,18288064
180276,2930194,17806704,16970336
180328,3317137,20779920,10846891
180373,3476182,5603841,9181383
180416,22746445,54460124,62610519
180461,218731511,233661871,371748904
180489,208096346,186961663,316759844
180522,11266174,17780829,24890664
180692,12554985,14201208,27470038
180902,25782427,59220533,66935221
180948,8640555,37966409,34981108
181215,38866311,132491894,98024860
181303,24527566,114003407,120886106
181312,8818438,26444989,29531468
181394,149540213,217866806,225255756
181419,469389,6167382,3704142
181428,93338336,890100904,531283417
181464,435036255,1066271743,953600868
181491,16058020,73154365,51108093
181534,8980564,41891845,25285131
181640,3959539,93452484,102394973
181747,23439972,117860930,34435969
181765,1950294,12918274,14312773
181783,17901282,82005328,49447866
181817,13566902,24824748,31215516
182005,13192000,275097000,201838000
182281,299898000,852422000,545659000
182290,364291499,692990319,547675788
182306,3172000,46152000,26961000
182500,10710000,90515000,73977000
182519,6530000,101651000,93381000
182564,1755000,41145000,33360000
183044,375294669,685899227,580888110
183062,109910128,130249358,119846123
183071,1154437,2830434,13314330
183080,100973383,86322925,105223500
183099,5435665,46525591,39977610
183105,1529195,9338370,11528523
183114,928879,8133940,11300342
183123,1275961,13503235,12092516
183132,1885469,25548348,19571149
183141,6414722,23476161,17157624
183150,5735840,23166673,16156761
183257,3075645,8299803,15102494
183327,108422561,89388020,49734879
183655,10893714,59137441,55540602
183743,36247078,147165322,123858415
